x;y;errx;erry
1.3769999999999998;40.88;0.039;0.15009999999999998
1.463;41.31;0.036000000000000004;0.1301
1.538;40.26;0.034;0.07010000000000001
1.577;40.41;0.034;0.10010000000000001
1.454;40.48;0.036000000000000004;0.07010000000000001
1.5290000000000001;40.85;0.034;0.1101
1.527;41.12;0.033;0.07010000000000001
1.2830000000000001;39.82;0.042;0.0801
1.369;40.15;0.04;0.1201
1.625;41.18;0.033;0.0901
1.1440000000000001;39.73;0.06;0.1301
1.706;41.72;0.033;0.0901
1.651;41.56;0.034;0.0901
1.59;41.24;0.034;0.0801
1.39;40.02;0.038;0.07010000000000001
1.7819999999999998;41.68;0.032;0.07010000000000001
1.419;40.68;0.039;0.0801
1.35;40.25;0.040999999999999995;0.10010000000000001
1.548;41.1;0.034;0.0801
1.446;41.19;0.026000000000000006;0.2601
1.5759999999999998;41.26;0.025;0.1201
1.567;41.03;0.022000000000000002;0.1101
1.484;40.84;0.026000000000000002;0.0901
1.791;41.8;0.032;0.0801
1.463;40.57;0.035;0.1101
1.48;40.17;0.026000000000000002;0.0901
1.565;40.97;0.033;0.0801
1.588;40.81;0.033;0.15009999999999998
1.5319999999999998;41.06;0.035;0.1201
1.649;41.53;0.033;0.0801
1.6880000000000002;41.83;0.025;0.1301
1.7069999999999999;41.54;0.024;0.10010000000000001
1.6640000000000001;41.25;0.019;0.0801
1.6369999999999998;41.38;0.034;0.10010000000000001
1.652;41.56;0.024;0.10010000000000001
1.49;41.15;0.035;0.1301
1.7469999999999999;41.93;0.024;0.1201
1.449;40.83;0.035;0.10010000000000001
1.406;40.37;0.04;0.1101
1.725;41.91;0.032;0.0901
1.766;41.77;0.024;0.10010000000000001
1.646;41.6;0.025;0.0801
1.5659999999999998;40.74;0.025;0.07010000000000001
1.535;41.02;0.035;0.0601
1.4769999999999999;40.36;0.035;0.0901
1.614;40.9;0.024;0.10010000000000001
1.7369999999999999;41.69;0.023;0.1301
1.561;41.33;0.025;0.10010000000000001
1.4409999999999998;40.32;0.036000000000000004;0.07010000000000001
1.7;41.46;0.024;0.0901
1.787;41.97;0.031;0.0801
1.6019999999999999;40.61;0.025;0.0601
1.536;40.19;0.034;0.07010000000000001
1.496;39.93;0.036;0.10010000000000001
1.4340000000000002;40.25;0.036000000000000004;0.07010000000000001
1.44;40.27;0.035;0.0901
1.75;41.64;0.025;0.10010000000000001
1.746;41.86;0.025000000000000005;0.10010000000000001
1.296;40.17;0.044000000000000004;0.0801
1.425;40.49;0.042;0.1201
1.297;40.14;0.035;0.10010000000000001
1.5319999999999998;40.72;0.034;0.10010000000000001
1.681;41.62;0.042;0.07010000000000001
1.6119999999999999;41.12;0.024999999999999998;0.10010000000000001
1.709;41.69;0.032;0.0801
1.774;41.82;0.024;0.0801
1.2790000000000001;39.59;0.044000000000000004;0.0901
1.56;41.2;0.037000000000000005;0.07010000000000001
1.54;41.0;0.034;0.3001
1.791;41.74;0.033;0.1201
1.597;40.98;0.022000000000000002;0.1101
1.63;40.67;0.034;0.0801
1.5930000000000002;41.21;0.025;0.10010000000000001
1.41;40.25;0.038;0.07010000000000001
1.5930000000000002;41.14;0.034;0.0901
1.446;40.2;0.036000000000000004;0.0801
1.639;41.6;0.033;0.1201
1.561;41.83;0.033;0.0801
1.544;41.18;0.026000000000000002;0.0801
1.569;40.72;0.034;0.0901
1.587;41.47;0.032;0.0901
1.66;41.51;0.024;0.0801
1.396;40.01;0.038;0.10010000000000001
1.4340000000000002;40.62;0.027000000000000003;0.0801
1.465;40.61;0.016;0.10010000000000001
1.4069999999999998;40.81;0.02;0.2801
1.431;40.71;0.022;0.1301
1.3090000000000002;40.47;0.032;0.0801
1.4240000000000002;40.24;0.027000000000000003;0.07010000000000001
1.609;41.05;0.024;0.0801
1.683;40.86;0.024;0.1301
1.6880000000000002;41.28;0.024;0.0801
1.739;41.1;0.023;0.050100000000000006
1.34;39.76;0.021;0.0801
1.494;40.6;0.025;0.24009999999999998
1.3969999999999998;40.62;0.017;0.0901
1.4409999999999998;40.28;0.036000000000000004;0.1101
1.5590000000000002;41.25;0.046;0.0901
1.757;41.64;0.033;0.1301
1.7069999999999999;41.44;0.025;0.15009999999999998
1.6269999999999998;41.27;0.031;0.0801
1.662;41.59;0.033;0.10010000000000001
1.66;41.74;0.033;0.10010000000000001
1.318;40.48;0.046;0.1101
1.568;41.06;0.033;0.1101
1.393;40.23;0.04099999999999999;0.10010000000000001
1.5730000000000002;41.19;0.033;0.1101
